time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.11,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.24,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.42,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.61,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.82,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.93,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.02,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.41,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.51,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.90,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.10,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.20,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.30,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.40,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.50,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.60,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.70,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.81,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.93,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.00,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.10,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.20,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.30,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.40,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.50,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.60,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.73,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.80,2,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
3.91,3,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
4.01,3,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
4.11,3,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
