time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.39,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.51,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.62,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.89,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.01,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.21,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.46,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.49,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.72,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.81,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.98,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.10,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.25,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.32,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.41,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.50,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.60,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.70,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.80,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.90,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
3.00,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
3.20,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
3.31,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
3.45,2,starting,0,0,0,0,starting,0,0,0,0,0,11-17:11:03,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
